state,gdp
Total,23315081
New England ,1221039
Connecticut,298395
Maine ,77963
Massachusetts ,641332
New Hampshire ,99673
Rhode Island ,66571
Vermont ,37104
Mideast ,4107499
Delaware ,81160
District of Columbia ,153670
Maryland ,443930
New Jersey,682946
New York,1901297
Pennsylvania ,844496
Great Lakes ,3056083
Illinois ,945674
Indiana,412975
Michigan ,572206
Ohio ,756617
Wisconsin ,368611
Plains ,1450801
Iowa ,216860
Kansas,191381
Minnesota ,412459
Missouri ,358572
Nebraska,146285
North Dakota ,63560
South Dakota ,61685
Southeast ,5022473
Alabama ,254110
Arkansas,148676
Florida ,1255558
Georgia ,691627
Kentucky,237182
Louisiana ,258571
Mississippi ,127308
North Carolina ,662121
South Carolina ,269802
Tennessee ,427125
Virginia ,604958
West Virginia ,85434
Southwest ,2796714
Arizona ,420027
New Mexico,109583
Oklahoma,215336
Texas,2051769
Rocky Mountain ,858193
Colorado ,436359
Idaho ,96283
Montana ,58700
Utah ,225340
Wyoming ,41510
Far West,4665853
Alaska ,57349
California ,3373241
Hawaii ,91096
Nevada,194487
Oregon ,272191
Washington,677489
Overseas activity2,137241